name,year,reclat,reclong,mass
Burnwell,1990,37.62194,-82.23722,1504.0
Glanerbrug,1990,52.2,6.86667,670.0
Itqiy,1990,26.59083,-12.95217,4720.0
Jalanash,1990,,,700.0
Magombedze,1990,-19.48333,31.65,666.6
Quija,1990,44.61667,126.13333,17450.0
Sterlitamak,1990,53.66667,55.98333,325000.0
Yanzhuang,1990,24.56667,114.16667,3500.0
Acfer 066,1990,27.63333,4.06667,517.0
Acfer 067,1990,27.71667,4.78333,383.0
Acfer 068,1990,27.55,3.7,1805.0
Acfer 069,1990,27.53333,3.83333,941.0
Acfer 070,1990,27.68333,4.48333,138.0
Acfer 071,1990,27.63333,4.28333,1379.0
Acfer 072,1990,27.63333,4.25,162.0
Acfer 073,1990,27.53333,3.85,2010.0
Acfer 074,1990,27.48333,3.83333,384.0
Acfer 075,1990,27.51667,3.73333,1453.0
Acfer 076,1990,27.7,4.35,183.0
Acfer 077,1990,27.63333,4.51667,2538.0
Acfer 078,1990,27.56667,4.15,105.0
Acfer 079,1990,27.5,3.68333,387.0
Acfer 080,1990,27.63333,4.51667,574.0
Acfer 081,1990,27.53333,3.86667,110.0
Acfer 082,1990,27.5,3.48333,208.0
Acfer 083,1990,27.48333,3.63333,690.0
Acfer 084,1990,27.55,3.86667,6300.0
Acfer 085,1990,27.58333,3.95,293.0
Acfer 086,1990,27.66667,4.18333,173.0
Acfer 087,1990,27.7,4.26667,163.0
Acfer 088,1990,27.75,4.43333,200.0
Acfer 089,1990,27.63333,4.3,682.0
Acfer 090,1990,27.5,3.83333,290.0
Acfer 091,1990,27.45,4.11667,3487.0
Acfer 092,1990,27.66667,4.51667,244.0
Acfer 093,1990,27.71667,4.13333,420.0
Acfer 094,1990,27.73333,4.43333,82.0
Acfer 095,1990,27.71667,4.38333,104.0
Acfer 096,1990,27.61667,4.2,572.0
Acfer 097,1990,27.51667,3.96667,63.0
Acfer 098,1990,27.46667,3.88333,5500.0
Acfer 099,1990,27.45,3.83333,313.0
Acfer 100,1990,27.46667,3.95,140.0
Acfer 101,1990,27.53333,4.16667,452.0
Acfer 102,1990,27.66667,4.46667,346.0
Acfer 103,1990,27.8,4.5,665.0
Acfer 104,1990,27.63333,4.36667,992.0
Acfer 105,1990,27.55,4.13333,392.0
Acfer 106,1990,27.5,3.9,1390.0
Acfer 107,1990,27.45,3.75,105.0
Acfer 108,1990,27.5,3.88333,828.0
Acfer 109,1990,27.55,3.76667,236.0
Acfer 110,1990,27.48333,3.8,107.0
Acfer 111,1990,27.48333,3.8,987.0
Acfer 112,1990,27.65,4.03333,216.0
Acfer 113,1990,27.56667,4.03333,2906.0
Acfer 114,1990,27.6,3.96667,43.0
Acfer 115,1990,27.73333,4.16667,287.0
Acfer 116,1990,27.73333,4.16667,345.0
Acfer 117,1990,27.73333,4.2,178.0
Acfer 118,1990,27.66667,4.2,752.0
Acfer 119,1990,27.65,4.23333,121.0
Acfer 120,1990,27.65,4.3,861.0
Acfer 121,1990,27.68333,4.33333,427.0
Acfer 122,1990,27.5,3.66667,235.0
Acfer 123,1990,27.46667,3.76667,452.0
Acfer 124,1990,27.6,4.05,542.0
Acfer 125,1990,27.68333,4.35,3380.0
Acfer 126,1990,27.51667,3.8,280.0
Acfer 127,1990,27.7,4.3,699.0
Acfer 128,1990,27.5,4.3,163.0
Acfer 129,1990,27.6,4.2,162.0
Acfer 130,1990,27.58333,4.0,400.0
Acfer 131,1990,27.58333,3.96667,171.0
Acfer 132,1990,27.5,3.76667,1621.0
Acfer 133,1990,27.5,3.83333,362.0
Acfer 134,1990,27.76667,4.53333,1161.0
Acfer 135,1990,27.55,4.03333,124.0
Acfer 136,1990,27.46667,4.05,324.0
Acfer 137,1990,27.58333,4.08333,106.0
Acfer 138,1990,27.66667,4.08333,941.0
Acfer 139,1990,27.56667,4.08333,143.0
Acfer 140,1990,27.56667,4.08333,171.0
Acfer 141,1990,27.58333,3.85,58.0
Acfer 142,1990,27.56667,4.35,91.0
Acfer 143,1990,27.66667,4.45,417.0
Acfer 144,1990,27.66667,4.28333,186.0
Acfer 145,1990,27.66667,4.28333,869.0
Acfer 146,1990,27.63333,4.08333,200.0
Acfer 147,1990,27.6,4.11667,140.0
Acfer 148,1990,27.58333,4.06667,157.0
Acfer 149,1990,27.58333,4.05,394.0
Acfer 150,1990,27.56667,3.81667,251.0
Acfer 151,1990,27.46667,3.71667,218.0
Acfer 152,1990,27.43333,3.75,157.0
Acfer 153,1990,27.53333,3.95,211.0
Acfer 154,1990,27.55,4.01667,95.0
Acfer 155,1990,27.66667,4.25,206.0
Acfer 156,1990,27.66667,4.23333,240.0
Acfer 157,1990,27.66667,4.23333,1072.0
Acfer 158,1990,27.66667,4.21667,422.0
Acfer 159,1990,27.5,3.93333,123.0
Acfer 160,1990,27.46667,3.71667,433.0
Acfer 161,1990,27.75,4.43333,604.0
Acfer 162,1990,27.66667,4.01667,1281.0
Acfer 163,1990,27.7,4.35,125.0
Acfer 164,1990,27.53333,4.18333,43.0
Acfer 165,1990,27.56667,4.33333,84.0
Acfer 166,1990,27.51667,4.23333,2476.0
Acfer 167,1990,27.51667,4.0,157.0
Acfer 168,1990,27.6,3.98333,211.0
Acfer 169,1990,27.73333,4.11667,559.0
Acfer 171,1990,27.65,4.25,313.0
Acfer 172,1990,27.66667,4.16667,766.0
Acfer 173,1990,27.65,4.03333,262.0
Acfer 174,1990,27.48333,3.86667,127.0
Acfer 175,1990,27.48333,3.85,153.0
Acfer 176,1990,27.48333,3.85,320.0
Acfer 177,1990,27.48333,3.85,721.0
Acfer 178,1990,27.48333,3.75,488.0
Acfer 179,1990,27.46667,3.75,163.0
Acfer 180,1990,27.6,4.16667,103.0
Acfer 181,1990,27.66667,4.2,245.0
Acfer 182,1990,27.7,4.35,166.0
Acfer 183,1990,27.58333,4.16667,114.0
Acfer 184,1990,27.56667,4.01667,311.0
Acfer 185,1990,27.53333,3.83333,109.0
Acfer 186,1990,27.46667,3.86667,315.0
Acfer 187,1990,27.46667,3.9,234.0
Acfer 188,1990,27.58333,4.11667,252.0
Acfer 189,1990,27.6,4.18333,53.0
Acfer 190,1990,27.7,4.3,4439.0
Acfer 191,1990,27.7,4.3,188.0
Acfer 192,1990,27.65,4.2,219.0
Acfer 193,1990,27.56667,3.95,157.0
Adrar 001,1990,28.05,0.16667,1917.0
Adrar 002,1990,27.81667,0.13333,407.0
Adrar 003,1990,27.13333,0.2,287.0
Aguemour 001,1990,26.96667,4.45,896.0
Aguemour 002,1990,26.96667,4.4,236.0
Aguemour 003,1990,27.36667,4.5,809.0
Aguemour 004,1990,27.33333,4.5,1137.0
Allan Hills 90400,1990,-76.73561,159.37968,36.3
Allan Hills 90401,1990,-76.72511,159.19525,274.1
Allan Hills 90402,1990,-76.70085,159.39389,1.7
Allan Hills 90403,1990,-76.7232,159.27344,38.6
Allan Hills 90404,1990,-76.72984,159.21445,36.6
Allan Hills 90405,1990,-76.73758,159.40921,210.4
Allan Hills 90406,1990,-76.9512,156.93593,6.8
Allan Hills 90407,1990,-76.95444,156.93741,0.6
Allan Hills 90408,1990,-76.96706,156.90663,9.0
Allan Hills 90409,1990,-76.97131,156.90059,0.8
Allan Hills 90410,1990,-76.97765,156.92485,20.1
Allan Hills 90411,1990,-76.98079,156.93013,5836.5
Allan Hills 90412,1990,-77.01668,156.92232,6.3
Allan Hills 90413,1990,-77.01544,156.93008,54.8
Allan Hills 90414,1990,-77.02314,156.98036,15.6
Asuka 9001,1990,-72.0,26.0,390.48
Asuka 9004,1990,-72.0,26.0,198.92
Asuka 9005,1990,-72.0,26.0,129.25
Asuka 9006,1990,-72.0,26.0,62.15
Asuka 9007,1990,-72.0,26.0,94.26
Asuka 9029,1990,-72.0,26.0,65.31
Asuka 9030,1990,-72.0,26.0,67.1
Asuka 9031,1990,-72.0,26.0,243.49
Asuka 9034,1990,-72.0,26.0,75.15
Asuka 9043,1990,-72.0,26.0,134.92
Asuka 9046,1990,-72.0,26.0,45.86
Asuka 9048,1990,-72.0,26.0,8270.54
Camel Donga 003,1990,-30.11667,126.91667,36.6
Camel Donga 004,1990,-30.31667,126.56667,32.8
Cook 005,1990,-30.24833,130.54083,97.0
Djebel In-Azzene,1990,27.86667,0.45,12500.0
El Golea,1990,30.01667,2.98333,823.0
Elephant Moraine 90191,1990,-76.27628,156.49863,11.0
Elephant Moraine 90329,1990,-76.2811,156.43614,22.5
Elephant Moraine 90001,1990,-76.29387,156.44077,53.2
Elephant Moraine 90002,1990,-76.27929,156.39568,28.0
Elephant Moraine 90003,1990,-76.29145,156.411,30.8
Elephant Moraine 90004,1990,-76.28837,156.45972,56.7
Elephant Moraine 90005,1990,-76.2719,156.4399,42.3
Elephant Moraine 90006,1990,-76.28523,156.44781,23.9
Elephant Moraine 90007,1990,-76.28651,156.37091,131.0
Elephant Moraine 90008,1990,-76.27843,156.39653,40.0
Elephant Moraine 90009,1990,-76.28169,156.40266,30.1
Elephant Moraine 90010,1990,-76.28287,156.43993,10.0
Elephant Moraine 90011,1990,-76.27517,156.40952,305.1
Elephant Moraine 90012,1990,-76.26938,156.4861,226.1
Elephant Moraine 90013,1990,-76.27975,156.41261,36.3
Elephant Moraine 90014,1990,-76.28547,156.43303,20.8
Elephant Moraine 90015,1990,-76.29145,156.4112,86.8
Elephant Moraine 90016,1990,-76.29026,156.43481,45.1
Elephant Moraine 90017,1990,-76.27159,156.4145,15.6
Elephant Moraine 90018,1990,-76.2885,156.4519,31.4
Elephant Moraine 90019,1990,-76.281,156.39468,21.5
Elephant Moraine 90020,1990,-76.2693,156.41368,154.0
Elephant Moraine 90021,1990,-76.26811,156.4562,19.6
Elephant Moraine 90022,1990,-76.28573,156.45721,15.5
Elephant Moraine 90023,1990,-76.27507,156.41039,31.5
Elephant Moraine 90024,1990,-76.28843,156.47871,22.8
Elephant Moraine 90025,1990,-76.282,156.39926,45.8
Elephant Moraine 90026,1990,-76.29226,156.45354,61.5
Elephant Moraine 90027,1990,-76.27075,156.42087,6.2
Elephant Moraine 90028,1990,-76.28025,156.47035,31.3
Elephant Moraine 90029,1990,-76.27386,156.37451,7.9
Elephant Moraine 90030,1990,-76.27504,156.4262,75.3
Elephant Moraine 90031,1990,-76.27845,156.4135,55.8
Elephant Moraine 90032,1990,-76.27944,156.41678,30.0
Elephant Moraine 90033,1990,-76.2861,156.44289,3.9
Elephant Moraine 90034,1990,-76.28193,156.40161,1413.6
Elephant Moraine 90035,1990,-76.26583,156.50533,1.3
Elephant Moraine 90036,1990,-76.27931,156.41939,21.2
Elephant Moraine 90037,1990,-76.29151,156.44206,6.0
Elephant Moraine 90038,1990,-76.27343,156.49052,5.5
Elephant Moraine 90039,1990,-76.27893,156.51524,5.8
Elephant Moraine 90040,1990,-76.27377,156.48817,13.1
Elephant Moraine 90041,1990,-76.28809,156.44016,2.2
Elephant Moraine 90042,1990,-76.27972,156.47218,14.2
Elephant Moraine 90043,1990,-76.2683,156.42732,12.5
Elephant Moraine 90044,1990,-76.27068,156.43655,11.5
Elephant Moraine 90045,1990,-76.2766,156.48895,6.6
Elephant Moraine 90046,1990,-76.26589,156.51582,5.3
Elephant Moraine 90047,1990,-76.26535,156.49442,1.2
Elephant Moraine 90048,1990,-76.28612,156.4632,12.4
Elephant Moraine 90049,1990,-76.28143,156.40314,18.0
Elephant Moraine 90050,1990,-76.26568,156.4887,4.1
Elephant Moraine 90051,1990,-76.18333,157.16667,715.4
Elephant Moraine 90052,1990,-76.27941,156.42732,10.7
Elephant Moraine 90053,1990,-76.18333,157.16667,427.9
Elephant Moraine 90054,1990,-76.29063,156.36755,311.5
Elephant Moraine 90055,1990,-76.27289,156.48126,38.9
Elephant Moraine 90056,1990,-76.27082,156.45921,89.2
Elephant Moraine 90057,1990,-76.28141,156.47504,22.1
Elephant Moraine 90058,1990,-76.28316,156.50703,16.9
Elephant Moraine 90059,1990,-76.27906,156.4406,83.9
Elephant Moraine 90060,1990,-76.27855,156.42319,5.3
Elephant Moraine 90061,1990,-76.26754,156.45027,10.1
Elephant Moraine 90062,1990,-76.279,156.42311,43.4
Elephant Moraine 90063,1990,-76.27927,156.42393,44.3
Elephant Moraine 90064,1990,-76.27869,156.45148,35.5
Elephant Moraine 90065,1990,-76.28242,156.42792,17.2
Elephant Moraine 90066,1990,-76.27713,156.46146,9.8
Elephant Moraine 90067,1990,-76.28069,156.42557,37.3
Elephant Moraine 90068,1990,-76.26668,156.45038,5.5
Elephant Moraine 90069,1990,-76.26903,156.46516,21.1
Elephant Moraine 90070,1990,-76.26799,156.45596,106.5
Elephant Moraine 90071,1990,-76.29026,156.45207,103.4
Elephant Moraine 90073,1990,-76.28677,156.39246,60.7
Elephant Moraine 90074,1990,-76.28739,156.48265,26.6
Elephant Moraine 90075,1990,-76.28279,156.4178,18.3
Elephant Moraine 90076,1990,-76.27776,156.4753,150.5
Elephant Moraine 90077,1990,-76.26659,156.46243,65.3
Elephant Moraine 90078,1990,-76.26699,156.45895,22.9
Elephant Moraine 90079,1990,-76.28001,156.43259,40.8
Elephant Moraine 90080,1990,-76.27008,156.54172,4.1
Elephant Moraine 90081,1990,-76.28072,156.50143,39.1
Elephant Moraine 90082,1990,-76.27992,156.43152,28.6
Elephant Moraine 90083,1990,-76.28863,156.43292,3.6
Elephant Moraine 90084,1990,-76.28144,156.43002,25.4
Elephant Moraine 90085,1990,-76.2888,156.42258,2.4
Elephant Moraine 90086,1990,-76.28378,156.45396,30.5
Elephant Moraine 90087,1990,-76.27955,156.46541,22.7
Elephant Moraine 90088,1990,-76.27056,156.45229,17.2
Elephant Moraine 90089,1990,-76.27795,156.4446,32.7
Elephant Moraine 90090,1990,-76.28064,156.4712,16.7
Elephant Moraine 90091,1990,-76.28868,156.467,3.9
Elephant Moraine 90092,1990,-76.28078,156.43141,9.0
Elephant Moraine 90093,1990,-76.28894,156.41402,5.8
Elephant Moraine 90094,1990,-76.26935,156.48567,8.9
Elephant Moraine 90095,1990,-76.27071,156.44777,6.5
Elephant Moraine 90096,1990,-76.27595,156.46986,11.9
Elephant Moraine 90097,1990,-76.28563,156.42033,18.6
Elephant Moraine 90098,1990,-76.27073,156.44742,4.7
Elephant Moraine 90099,1990,-76.26787,156.44878,11.7
Elephant Moraine 90100,1990,-76.27923,156.48157,12.8
Elephant Moraine 90101,1990,-76.28113,156.47063,12.8
Elephant Moraine 90102,1990,-76.27683,156.473,17.0
Elephant Moraine 90103,1990,-76.28638,156.41872,6.2
Elephant Moraine 90104,1990,-76.28153,156.413,1.3
Elephant Moraine 90105,1990,-76.27809,156.45451,8.5
Elephant Moraine 90106,1990,-76.2773,156.4595,3.0
Elephant Moraine 90107,1990,-76.28349,156.42792,1.0
Elephant Moraine 90108,1990,-76.27067,156.45316,15.4
Elephant Moraine 90109,1990,-76.27904,156.41393,33.5
Elephant Moraine 90110,1990,-76.27271,156.447,74.0
Elephant Moraine 90111,1990,-76.27172,156.4504,74.4
Elephant Moraine 90112,1990,-76.26857,156.45213,20.0
Elephant Moraine 90113,1990,-76.27871,156.44064,78.2
Elephant Moraine 90114,1990,-76.2784,156.41975,65.4
Elephant Moraine 90115,1990,-76.26967,156.4558,238.4
Elephant Moraine 90116,1990,-76.27922,156.44865,66.4
Elephant Moraine 90117,1990,-76.27068,156.45224,26.1
Elephant Moraine 90118,1990,-76.28043,156.47418,64.6
Elephant Moraine 90119,1990,-76.27936,156.42358,47.1
Elephant Moraine 90120,1990,-76.27916,156.42548,35.3
Elephant Moraine 90121,1990,-76.28,156.46954,232.2
Elephant Moraine 90122,1990,-76.26678,156.45993,13.0
Elephant Moraine 90123,1990,-76.28056,156.4268,39.2
Elephant Moraine 90124,1990,-76.27185,156.46509,33.2
Elephant Moraine 90125,1990,-76.2815,156.42993,90.2
Elephant Moraine 90126,1990,-76.27975,156.43124,5.5
Elephant Moraine 90127,1990,-76.2786,156.42336,14.6
Elephant Moraine 90128,1990,-76.27109,156.44202,50.1
Elephant Moraine 90129,1990,-76.27943,156.42859,50.0
Elephant Moraine 90130,1990,-76.28116,156.47876,21.8
Elephant Moraine 90131,1990,-76.28585,156.45512,26.9
Elephant Moraine 90132,1990,-76.27821,156.42007,20.6
Elephant Moraine 90133,1990,-76.27298,156.43744,52.4
Elephant Moraine 90134,1990,-76.26865,156.46632,21.9
Elephant Moraine 90135,1990,-76.26862,156.45523,15.5
Elephant Moraine 90136,1990,-76.28111,156.41951,37.9
Elephant Moraine 90137,1990,-76.27041,156.45093,29.1
Elephant Moraine 90138,1990,-76.27285,156.4512,74.8
Elephant Moraine 90139,1990,-76.28082,156.4687,13.9
Elephant Moraine 90140,1990,-76.29084,156.41196,2.1
Elephant Moraine 90141,1990,-76.27668,156.446,12.3
Elephant Moraine 90142,1990,-76.28742,156.41609,9.7
Elephant Moraine 90143,1990,-76.28137,156.49452,69.2
Elephant Moraine 90144,1990,-76.28253,156.49374,74.3
Elephant Moraine 90145,1990,-76.28022,156.51418,26.8
Elephant Moraine 90146,1990,-76.26962,156.4947,104.1
Elephant Moraine 90147,1990,-76.28415,156.4863,61.4
Elephant Moraine 90148,1990,-76.27774,156.52203,66.9
Elephant Moraine 90149,1990,-76.26985,156.49568,175.4
Elephant Moraine 90150,1990,-76.2873,156.47775,36.2
Elephant Moraine 90151,1990,-76.26864,156.5012,17.9
Elephant Moraine 90152,1990,-76.28226,156.51237,76.6
Elephant Moraine 90153,1990,-76.27951,156.50858,15.6
Elephant Moraine 90154,1990,-76.27392,156.50891,18.1
Elephant Moraine 90155,1990,-76.28327,156.48787,26.2
Elephant Moraine 90156,1990,-76.28551,156.47311,51.0
Elephant Moraine 90157,1990,-76.27738,156.51248,101.4
Elephant Moraine 90158,1990,-76.28468,156.47516,79.0
Elephant Moraine 90159,1990,-76.27837,156.50224,47.1
Elephant Moraine 90160,1990,-76.28279,156.49686,21.3
Elephant Moraine 90161,1990,-76.2824,156.51672,9.7
Elephant Moraine 90162,1990,-76.27993,156.48114,8.3
Elephant Moraine 90163,1990,-76.28732,156.4767,9.0
Elephant Moraine 90164,1990,-76.28788,156.47025,19.4
Elephant Moraine 90165,1990,-76.28222,156.5107,103.6
Elephant Moraine 90166,1990,-76.28286,156.50182,104.2
Elephant Moraine 90167,1990,-76.27318,156.52536,130.0
Elephant Moraine 90168,1990,-76.26799,156.50322,19.6
Elephant Moraine 90169,1990,-76.27634,156.51695,73.4
Elephant Moraine 90170,1990,-76.2746,156.52834,16.3
Elephant Moraine 90171,1990,-76.28457,156.48834,42.4
Elephant Moraine 90172,1990,-76.27937,156.49957,15.3
Elephant Moraine 90173,1990,-76.28438,156.47693,24.5
Elephant Moraine 90174,1990,-76.28629,156.48988,20.0
Elephant Moraine 90175,1990,-76.26864,156.53123,82.8
Elephant Moraine 90176,1990,-76.28419,156.48785,33.6
Elephant Moraine 90177,1990,-76.27479,156.5196,91.2
Elephant Moraine 90178,1990,-76.26709,156.49725,280.4
Elephant Moraine 90179,1990,-76.27414,156.5056,21.6
Elephant Moraine 90180,1990,-76.28473,156.48503,14.9
Elephant Moraine 90181,1990,-76.27466,156.49913,15.4
Elephant Moraine 90182,1990,-76.28078,156.48709,70.3
Elephant Moraine 90183,1990,-76.28298,156.47845,21.3
Elephant Moraine 90184,1990,-76.27363,156.48837,25.0
Elephant Moraine 90185,1990,-76.27695,156.49709,21.9
Elephant Moraine 90186,1990,-76.28071,156.48123,19.5
Elephant Moraine 90187,1990,-76.27983,156.48267,45.9
Elephant Moraine 90188,1990,-76.28404,156.4865,49.6
Elephant Moraine 90189,1990,-76.28077,156.4968,7.8
Elephant Moraine 90190,1990,-76.26593,156.52249,5.4
Elephant Moraine 90192,1990,-76.27775,156.51207,24.7
Elephant Moraine 90193,1990,-76.28297,156.50308,26.7
Elephant Moraine 90194,1990,-76.28402,156.47769,7.2
Elephant Moraine 90195,1990,-76.28749,156.4779,7.7
Elephant Moraine 90196,1990,-76.28126,156.48358,62.3
Elephant Moraine 90197,1990,-76.28223,156.4925,24.4
Elephant Moraine 90198,1990,-76.2861,156.47762,24.3
Elephant Moraine 90199,1990,-76.27913,156.50143,27.9
Elephant Moraine 90200,1990,-76.2854,156.4859,6.7
Elephant Moraine 90201,1990,-76.2735,156.50787,10.8
Elephant Moraine 90202,1990,-76.26882,156.50404,23.8
Elephant Moraine 90203,1990,-76.28655,156.48756,51.5
Elephant Moraine 90204,1990,-76.27493,156.50063,143.4
Elephant Moraine 90205,1990,-76.28209,156.49089,46.0
Elephant Moraine 90206,1990,-76.28591,156.49551,25.6
Elephant Moraine 90207,1990,-76.28203,156.50975,114.0
Elephant Moraine 90208,1990,-76.28408,156.48126,31.4
Elephant Moraine 90209,1990,-76.28448,156.47432,36.4
Elephant Moraine 90210,1990,-76.28583,156.4869,20.5
Elephant Moraine 90211,1990,-76.27784,156.48975,23.1
Elephant Moraine 90212,1990,-76.26861,156.49583,11.5
Elephant Moraine 90213,1990,-76.28324,156.51228,60.5
Elephant Moraine 90214,1990,-76.28592,156.48952,38.5
Elephant Moraine 90215,1990,-76.2786,156.52637,25.0
Elephant Moraine 90216,1990,-76.2719,156.502,28.9
Elephant Moraine 90217,1990,-76.27133,156.5237,23.2
Elephant Moraine 90218,1990,-76.28316,156.47162,15.6
Elephant Moraine 90219,1990,-76.27327,156.49641,8.6
Elephant Moraine 90220,1990,-76.2806,156.52197,16.8
Elephant Moraine 90221,1990,-76.28479,156.50302,67.3
Elephant Moraine 90222,1990,-76.2884,156.475,28.6
Elephant Moraine 90223,1990,-76.27901,156.49837,21.0
Elephant Moraine 90224,1990,-76.27591,156.49937,8.7
Elephant Moraine 90225,1990,-76.26813,156.49545,2.2
Elephant Moraine 90226,1990,-76.27407,156.50043,22.4
Elephant Moraine 90227,1990,-76.28392,156.47398,5.8
Elephant Moraine 90228,1990,-76.28368,156.4801,6.0
Elephant Moraine 90229,1990,-76.28055,156.43732,245.5
Elephant Moraine 90230,1990,-76.26583,156.40312,105.3
Elephant Moraine 90231,1990,-76.29367,156.4419,33.9
Elephant Moraine 90232,1990,-76.28795,156.46841,16.9
Elephant Moraine 90233,1990,-76.28817,156.47906,6.6
Elephant Moraine 90234,1990,-76.26577,156.40993,8.5
Elephant Moraine 90235,1990,-76.27573,156.40526,36.2
Elephant Moraine 90236,1990,-76.26761,156.53378,1.6
Elephant Moraine 90237,1990,-76.26492,156.54172,157.2
Elephant Moraine 90238,1990,-76.26667,156.53813,150.1
Elephant Moraine 90239,1990,-76.27318,156.36633,78.8
Elephant Moraine 90240,1990,-76.26634,156.4035,11.0
Elephant Moraine 90241,1990,-76.28682,156.45074,9.1
Elephant Moraine 90242,1990,-76.27482,156.49048,15.3
Elephant Moraine 90243,1990,-76.26641,156.40376,21.7
